,tweet_text,cyberbullying_type,lang,score,y,processed
2359,@TheNativeBoy @heekma http://t.co/sH8ie6YdcC,not_cyberbullying,en,0.9999954680491758,0,@ @ @link@
2420,@pwreclive https://t.co/TS7xaoxoj4,not_cyberbullying,en,0.9999971312687174,0,@ @link@
2550,Não é bullying se eu te quebrar inteira e dizer que estava brincando de jogos mortais. http://t.co/pVWZwo4,not_cyberbullying,en,0.9999967322079588,0,não é bullying se eu te quebrar inteira e dizer que estava brincando de jogos mortais @link@
2553,"Nunca faça bullying, por que quando aquela pessoa crescer, pode virar um bruxo das trevas e se aliar a Lord... http://tumblr.com/x2i3xl4an4",not_cyberbullying,en,0.999998407787913,0,nunca faça bullying por que quando aquela pessoa crescer pode virar um bruxo das trevas e se aliar a lord @link@
2593,@TheNativeBoy @SaudiNews50 http://t.co/UHwvIP0HP6,not_cyberbullying,en,0.9999951346725462,0,@ @ @link@
2629,@Jennimason0990 YUP,not_cyberbullying,en,0.9999994085984104,0,@ yup
2662,@TheNativeBoy @HistoryTabloid http://t.co/DrBtSNZ3fr,not_cyberbullying,en,0.9999967293268976,0,@ @ @link@
2685,@MitchMilesMurph yup,not_cyberbullying,en,0.9999971690488751,0,@ yup
2697,"@WendyWilliams Ck us out www.hbhliveapparel.com Sending out a positive messg ""Live"" Health Awareness, stop, gang, drug abuse, bullying ect.",not_cyberbullying,en,0.9999956856960714,0,@ ck us out wwwhbhliveapparelcom sending out a positive messg live health awareness stop gang drug abuse bullying ect
2801,http://t.co/daznQZR8Te,not_cyberbullying,en,0.9999980020176736,0,@link@
2893,@ZorazZora @zackbeauchamp http://t.co/FQnnZeTXrx,not_cyberbullying,en,0.999998280994751,0,@ @ @link@
2895,http://t.co/jNPaJBd,not_cyberbullying,en,0.9999952225067176,0,@link@
3016,http://t.co/OEztTK9,not_cyberbullying,en,0.9999960978504494,0,@link@
3025,"@Soledad_OBrien Ck us out www.hbhliveapparel.com Sending out a positive messg ""Live"" Health Awareness, stop, gang, drug abuse, bullying ect",not_cyberbullying,en,0.9999975803919008,0,@ ck us out wwwhbhliveapparelcom sending out a positive messg live health awareness stop gang drug abuse bullying ect
3217,@samusclone &lt;3,not_cyberbullying,en,0.9999967523733644,0,@ lt3
3219,But you all respect him....Pete hasn't read twitter has he #MKR,not_cyberbullying,en,0.9999974236721244,0,but you all respect himpete hasnt read twitter has he mkr
3257,@howxg @CTFleaMarkets http://t.co/oCBCQYL8o5,not_cyberbullying,en,0.9999950969542032,0,@ @ @link@
3304,This is the opportunity to prove ourselves like we didn't the first time. Er. Yeah. That's the spirit. #MKR,not_cyberbullying,en,0.9999957228664564,0,this is the opportunity to prove ourselves like we didnt the first time er yeah thats the spirit mkr
3471,NO http://t.co/st8EjQQHFj,not_cyberbullying,en,0.9999988660440592,0,no @link@
3515,Frio é bullying contra os solteiros. http://t.co/oogk4Hf,not_cyberbullying,en,0.9999965512091352,0,frio é bullying contra os solteiros @link@
3536,@TheNativeBoy http://t.co/FGUPLrvosi,not_cyberbullying,en,0.9999953986558436,0,@ @link@
3616,http://t.co/NXgtqSlchG,not_cyberbullying,en,0.9999980267086344,0,@link@
3622,@ZaenBassem http://t.co/gQbL8DlYpG,not_cyberbullying,en,0.9999968913346728,0,@ @link@
3650,@TimCField http://t.co/ElwRyZZhT2,not_cyberbullying,en,0.999994648612466,0,@ @link@
3732,@diesel_frost @leighannkop @icemonkey1234 @Drift0r http://t.co/hv501VcGx7,not_cyberbullying,en,0.9999989514492158,0,@ @ @ @ @link@
3745,@Abu_Baraa1 http://t.co/BBSKI6R37w,not_cyberbullying,en,0.9999969665150332,0,@ @link@
3754,@Love___Egypt http://t.co/AZzO3NyuUb,not_cyberbullying,en,0.9999968585636052,0,@ @link@
3781,@Te4m_NiGhtM4Re http://t.co/CHYCjtepYf,not_cyberbullying,en,0.9999958440688675,0,@ @link@
3832,@Assiye61 http://t.co/dduX3ZbMtE,not_cyberbullying,en,0.7142843684826727,0,@ @link@
3841,@x2xMiZoZoR3x2x http://t.co/PwgDKlbdae,not_cyberbullying,en,0.9999965459041708,0,@ @link@
3915,@geeky_zekey https://t.co/9ucLBSZm3r,not_cyberbullying,en,0.999997570565231,0,@ @link@
3924,@abohafzhgaze4 http://t.co/evlKuHXmut,not_cyberbullying,en,0.9999936940174396,0,@ @link@
3951,@ChannyBH @tania_price72,not_cyberbullying,en,0.9999961158358996,0,@ @
3988,@JamesBolton11 Yup.,not_cyberbullying,en,0.999997748261481,0,@ yup
4021,@mruthkrik @vicenews http://t.co/qH0FMCTHMu,not_cyberbullying,en,0.9999969019012356,0,@ @ @link@
4125,@TheDaveCA http://t.co/4I4S1dYgGG,not_cyberbullying,en,0.7142824613681887,0,@ @link@
4184,Frio é bullying contra os solteiros. http://t.co/7LuezGj,not_cyberbullying,en,0.9999978380904246,0,frio é bullying contra os solteiros @link@
4196,"@TonyCDKelly ""Bedroom Bully"" Mix Cd By @GappyRanks - #FreeDungloadLink : http://bit.ly/npG8EB - ☑ http://yfrog.com/khpu6tkj",not_cyberbullying,en,0.9999968719149466,0,@ bedroom bully mix cd by @ - freedungloadlink  @link@ - ☑ @link@
4281,"@CarrieKeagan Ck us out www.hbhliveapparel.com Sending out a positive messg ""Live"" Health Awareness, stop, gang, drug abuse, bullying ect",not_cyberbullying,en,0.9999965825805908,0,@ ck us out wwwhbhliveapparelcom sending out a positive messg live health awareness stop gang drug abuse bullying ect
4333,"@JoyVBehar Ck us out www.hbhliveapparel.com Sending out a positive messg ""Live"" Health Awareness, stop, gang, drug abuse, bullying ect",not_cyberbullying,en,0.9999973894280352,0,@ ck us out wwwhbhliveapparelcom sending out a positive messg live health awareness stop gang drug abuse bullying ect
4342,@EvanPascoe https://t.co/CQyEYwtEDw,not_cyberbullying,en,0.9999961298380384,0,@ @link@
4399,@purposelyflawed http://t.co/P6KTLT0XBZ,not_cyberbullying,en,0.9999991857544616,0,@ @link@
4462,@__enimey__ http://t.co/Jb1NzwOy3r,not_cyberbullying,en,0.999996026427688,0,@ @link@
4489,@josh_ag @ncweaver https://t.co/b5HFOAtfbk,not_cyberbullying,en,0.999997008918312,0,@ @ @link@
4666,@murphy_slaw https://t.co/M8w8xnUnDL,not_cyberbullying,en,0.9999973780046592,0,@ @link@
4712,As Real As It Gets: Bullying Victims Can Fight Back With Help From Brazilian Jiu-Jitsu Royalty http://t.co/sl71Cnx,not_cyberbullying,en,0.999995069595884,0,as real as it gets bullying victims can fight back with help from brazilian jiu-jitsu royalty @link@
4747,"Dou um empurrão em uma pessoa, isso se chama : - › EU : empurrão. › › SOCIEDADE : bullying ! http://t.co/cBsj9yU",not_cyberbullying,en,0.999995392677578,0,dou um empurrão em uma pessoa isso se chama  - › eu  empurrão › › sociedade  bullying  @link@
4759,@KaelaJael http://t.co/BXygHtfPk6,not_cyberbullying,en,0.9999980676345802,0,@ @link@
4773,@Jod0507 http://t.co/gBMid1NJ8U,not_cyberbullying,en,0.9999968164364128,0,@ @link@
4776,Strategicscoring should be classed as cheating. Everyone scored Kat and Andre fairly and accordingly. Why can't they do the same? #mkr,not_cyberbullying,en,0.9999970004337664,0,strategicscoring should be classed as cheating everyone scored kat and andre fairly and accordingly why cant they do the same mkr
4790,http://t.co/mltOYmL,not_cyberbullying,en,0.9999975354457284,0,@link@
4804,"Seu merda - ""Isso é bullying"" - ""Só se for com a merda"". http://t.co/D01pV9o",not_cyberbullying,en,0.9999955472394368,0,seu merda - isso é bullying - só se for com a merda @link@
4835,Frio é bullying contra os solteiros. http://t.co/KboQuSp,not_cyberbullying,en,0.999996669797741,0,frio é bullying contra os solteiros @link@
4850,@_last_time_lord yes,not_cyberbullying,en,0.9999969031254188,0,@ yes
4855,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/3ULluAO,not_cyberbullying,en,0.9999987352224156,0,não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro @link@
4929,"Read my response to ""Quem mais sofre bullying: ( ) Loiras burras. ( ) Nerds. (X) O número “24” da chamada. ja…"": http://4ms.me/oGaz7D",not_cyberbullying,en,0.9999946917357776,0,read my response to quem mais sofre bullying   loiras burras   nerds x o número 24 da chamada ja… @link@
4964,"Photoset: › “…he’s sensitive, people bully him, too, and he feels lonely and hasn’t got anybody to talk to,... http://tumblr.com/xzf3y5de41",not_cyberbullying,en,0.9999959765194772,0,photoset › …he’s sensitive people bully him too and he feels lonely and hasn’t got anybody to talk to @link@
4968,No. https://t.co/vpiOhlNGFy,not_cyberbullying,en,0.9999957839212248,0,no @link@
4979,@JosephIsVegan @SumbelinaZ @IronmanL1 @Hatewatch http://t.co/4EPmJ85eA1,not_cyberbullying,en,0.9999973147477764,0,@ @ @ @ @link@
5032,@YP_160 :),not_cyberbullying,en,0.9999963969194088,0,@ 
5131,@TheNativeBoy @heekma http://t.co/Jb250ZnHNo,not_cyberbullying,en,0.9999953941616688,0,@ @ @link@
5202,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/LVpwAio,not_cyberbullying,en,0.999996270924105,0,não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro @link@
5219,@ItsJustYousef http://t.co/DvSc4VhOVN,not_cyberbullying,en,0.9999979990580482,0,@ @link@
5258,"Meninos do Tumblr são assim: - › Meninas do Tumblr são assim: › › E eu, sou assim: › › Isso é bullying. http://tumblr.com/xso41h5wqq",not_cyberbullying,en,0.9999966467162038,0,meninos do tumblr são assim - › meninas do tumblr são assim › › e eu sou assim › › isso é bullying @link@
5317,@loveisis4_4 http://t.co/uuUDXX4CTY,not_cyberbullying,en,0.999994830497794,0,@ @link@
5332,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/ngB5koZ,not_cyberbullying,en,0.9999970638849868,0,não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro @link@
5353,Just gave a shit about bullying. Give a Shit at http://t.co/ftilJcW #giveashit,not_cyberbullying,en,0.999996105921736,0,just gave a shit about bullying give a shit at @link@ giveashit
5424,https://â¦,not_cyberbullying,en,0.9999955805241074,0,httpsâ¦
5480,@BilalIGhumman @98Halima @johnnygjokaj @cdnKhadija @rfrankh53 http://t.co/5U3odWZSKi,not_cyberbullying,en,0.5714288777111136,0,@ @ @ @ @ @link@
5513,@M_Seloom ROFL.,not_cyberbullying,en,0.999999473070308,0,@ rofl
5573,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/HiokLPC,not_cyberbullying,en,0.9999982272075532,0,não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro @link@
5588,@DavidLongshore Or this stuff. http://t.co/ZDmoC9tyQG,not_cyberbullying,en,0.999997759613612,0,@ or this stuff @link@
5709,http://t.co/NWY9bX6,not_cyberbullying,en,0.999995431280042,0,@link@
5755,@alexlifschitz YUP.,not_cyberbullying,en,0.9999962080789612,0,@ yup
5839,@AG31594 http://t.co/PkhHdSGYpG,not_cyberbullying,en,0.9999990868934004,0,@ @link@
5849,Presented without comment. http://t.co/4xAlmBW4YB,not_cyberbullying,en,0.9999978862871072,0,presented without comment @link@
5859,@buttercupashby @MaDaSaHaTtEr_17 http://t.co/CoAGfDdAnU,not_cyberbullying,en,0.9999974050553057,0,@ @ @link@
5876,@WackoMedia http://t.co/2AXPNlSIkg,not_cyberbullying,en,0.9999969681427108,0,@ @link@
5916,Frio é bullying contra os solteiros. http://t.co/QdAS9Mo,not_cyberbullying,en,0.9999967912883791,0,frio é bullying contra os solteiros @link@
5948,I'm Only Human After All by Alex I. Rogers http://ow.ly/5WL0A  A compelling story about the reality of #bullying in #schools. #Readinglist,not_cyberbullying,en,0.8571386896470592,0,im only human after all by alex i rogers @link@  a compelling story about the reality of bullying in schools readinglist
5964,"Dou um empurrão em uma pessoa, isso se chama : - › EU : empurrão. › › SOCIEDADE : bullying ! http://t.co/zmQzdO5",not_cyberbullying,en,0.9999971866396667,0,dou um empurrão em uma pessoa isso se chama  - › eu  empurrão › › sociedade  bullying  @link@
5991,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/KN835W6,not_cyberbullying,en,0.9999974007231248,0,não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro @link@
6016,@abuag2014 @Po_st http://t.co/fbouEgDJvZ,not_cyberbullying,en,0.9999977109208368,0,@ @ @link@
6072,Frio é bullying contra os solteiros. http://t.co/5NxTrfT,not_cyberbullying,en,0.8571411499098376,0,frio é bullying contra os solteiros @link@
6096,It wouldn't be fair. Kat knows NOTHING of fair! Wtf &gt;.&lt; #hypocrite #mkr,not_cyberbullying,en,0.999995452508437,0,it wouldnt be fair kat knows nothing of fair wtf gtlt hypocrite mkr
6143,"@TVWEEKmag: There is only 1 way to stay in the comp Cook some good food."" -Ouch @manufeildel, ouch #mkr http://t.co/ngQhGsOtev"" @biljanab",not_cyberbullying,en,0.999999242612634,0,@ there is only 1 way to stay in the comp cook some good food -ouch @ ouch mkr @link@ @
6153,http://t.co/N3x6PtP,not_cyberbullying,en,0.9999976976417998,0,@link@
6172,To sofrendo bullying vendo as fotos desse povo infinitamente mais bonito que eu. http://tumblr.com/xtw3ycohnb,not_cyberbullying,en,0.9999985990740116,0,to sofrendo bullying vendo as fotos desse povo infinitamente mais bonito que eu @link@
6267,Frio é bullying contra os solteiros. http://t.co/18ddqSB,not_cyberbullying,en,0.9999967984459266,0,frio é bullying contra os solteiros @link@
6289,@JimOtermat randi@randi.io,not_cyberbullying,en,0.9999956125343876,0,@ randi@
6355,"@IAMQUEENLATIFAH Ck us out www.hbhliveapparel.com Sending out a positive messg ""Live"" Health Awareness, stop, gang, drug abuse, bullying ect",not_cyberbullying,en,0.9999975535365996,0,@ ck us out wwwhbhliveapparelcom sending out a positive messg live health awareness stop gang drug abuse bullying ect
6409,@iaha2014 http://t.co/SQvG5j1Jvf,not_cyberbullying,en,0.9999966281811672,0,@ @link@
6552,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/dw7yBIx,not_cyberbullying,en,0.9999980639494774,0,não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro @link@
6565,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/oRxEm8f,not_cyberbullying,en,0.9999957076312598,0,não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro @link@
6570,@DrunkenGeeBee @mrbowers yup,not_cyberbullying,en,0.9999953512176598,0,@ @ yup
6572,@wwaazzaap @ThatSabineGirl top kek,not_cyberbullying,en,0.9999980952254064,0,@ @ top kek
6609,@LifeInKhilafah http://t.co/ASYCnBPvnQ,not_cyberbullying,en,0.9999958294541922,0,@ @link@
6990,RT @cooperlewis_: 3 followers till 1000!,gender,en,0.9999970360771138,1,rt @ 3 followers till 1000
7213,".""@DustyPee: #cuntandandre Best thing I've heard! #mkr”",gender,en,0.9999961303842336,1,@ cuntandandre best thing ive heard mkr
7239,@Bourgholtzer feminazi,gender,en,0.9999958208593808,1,@ feminazi
7270,#MileyCyrus Miley Cyrus makes date rape joke: ‘Everyone’s a little bit gay… all it takes is one cocktail’ http://ift.tt/1uVc5Gc,gender,en,0.999993439689266,1,mileycyrus miley cyrus makes date rape joke ‘everyone’s a little bit gay… all it takes is one cocktail’ @link@
7332,"Oh, I see. It's @jennofhardwire sending her little harassment squad after me. Like we can't see right through her innocent act.",gender,en,0.999994932479354,1,oh i see its @ sending her little harassment squad after me like we cant see right through her innocent act
7334,Will those killer blondes kill the whole dinner #MKR,gender,en,0.9999965069526172,1,will those killer blondes kill the whole dinner mkr
7349,"Video: queerpoc: ""I’m not gonna apologize for my rape jokes, I’m not gonna apologize for my gay jokes or... http://tmblr.co/ZB09Ox1S_GDGW",gender,en,0.9999956585533002,1,video queerpoc i’m not gonna apologize for my rape jokes i’m not gonna apologize for my gay jokes or @link@
7359,@Alan_Wickham http://t.co/ztGVbCaClu,gender,en,0.99999735195409,1,@ @link@
7377,@Bananaramble Two of those three are already real...,gender,en,0.999995659053887,1,@ two of those three are already real
7380,"lol, that chick from last night is still raging about me blocking her, i guess.",gender,en,0.9999982782681508,1,lol that chick from last night is still raging about me blocking her i guess
7470,#MileyCyrus Miley Cyrus shocks fans with date-rape 'joke' during gig at GAY in London http://ift.tt/1olBmYn'joke'-during-gig-at-GAY-in-London&amp;c=TT2yUG9XwN5-GQIbSb1mw7HYf12SAWB3aBQl4Wxhnzw&amp;mkt=en-us,gender,en,0.9999967759446724,1,mileycyrus miley cyrus shocks fans with date-rape joke during gig at gay in london @link@joke-during-gig-at-gay-in-londonampctt2yug9xwn5-gqibsb1mw7hyf12sawb3abql4wxhnzwampmkten-us
7558,There goes the man-woman wage-gap sham in shambles!..... like all other Feminazi falsities! http://t.co/Kma245cyY3,gender,en,0.9999953108902478,1,there goes the man-woman wage-gap sham in shambles like all other feminazi falsities @link@
7585,@helsybobsmith Show an example.,gender,en,0.99999687505574,1,@ show an example
7642,What a riveting little lesson in walking the catwalk. Thanks ladies #MKR,gender,en,0.9999964546707264,1,what a riveting little lesson in walking the catwalk thanks ladies mkr
7653,RT @NoToFeminism: I don’t need femisnn i heard femists were trying to write a book sequel called To Mock a Meningbird,gender,en,0.9999972126610794,1,rt @ i don’t need femisnn i heard femists were trying to write a book sequel called to mock a meningbird
7773,@MT8_9 http://t.co/QHo6dhumjc,gender,en,0.999996244270182,1,@ @link@
8158,#mkr Promo girls are going to BRING IT in the next round. Yeah! Bring it! Bring your store bought capsicums!,gender,en,0.8571400143874843,1,mkr promo girls are going to bring it in the next round yeah bring it bring your store bought capsicums
8251,There goes the man-woman wage-gap sham in shambles!..... like all other Feminazi falsities! http://t.co/6TKdnDOZrr,gender,en,0.9999957614585486,1,there goes the man-woman wage-gap sham in shambles like all other feminazi falsities @link@
8280,Miley Cyrus makes date rape joke onstage at GAY http://dlvr.it/5f0RM2,gender,en,0.9999992997013106,1,miley cyrus makes date rape joke onstage at gay @link@
8313,VIDEO: Miley Cyrus Makes Date Rape Joke at Gay Nightclub... http://plu.gd/SKF,gender,en,0.9999954516494486,1,video miley cyrus makes date rape joke at gay nightclub @link@
8354,If this horrendousness beats Lynn and Tony the angels I'll be so sad #MKR,gender,en,0.9999980149877072,1,if this horrendousness beats lynn and tony the angels ill be so sad mkr
8399,"@cbleiker #GermanProfessor gives meaning to term FemiNazi.Doesn't hire ""Indian Men"" bcz of ""Indias's Rape Problem""",gender,en,0.9999945236328064,1,@ germanprofessor gives meaning to term feminazidoesnt hire indian men bcz of indiass rape problem
8455,https://t.co/WNAmh7HCTv,gender,en,0.8571404069930706,1,@link@
8517,@thisonesakillaa: In my opinion? All jokes are ok. Nothing should be off-limits to joke about. Just pointing out hypocrisies #SorryItsABoy,gender,en,0.9999969619802194,1,@ in my opinion all jokes are ok nothing should be off-limits to joke about just pointing out hypocrisies sorryitsaboy
8570,Miley Cyrus makes date rape joke onstage at GAY - The Guardian http://twitbit.me/557997,gender,en,0.999996090971601,1,miley cyrus makes date rape joke onstage at gay - the guardian @link@
8665,"WATCH: Audience Revolts After Margaret Cho Jokes About Rape, Whites, Gay People - Breitbart http://bit.ly/22HRdpf",gender,en,0.9999969285921764,1,watch audience revolts after margaret cho jokes about rape whites gay people - breitbart @link@
8693,@shaner38 Avs REALLY needed the D man too...but they made right pick.,gender,en,0.999996360930142,1,@ avs really needed the d man toobut they made right pick
8699,@ManilaNews Vice Ganda's sickness of being gay has no cure. So don't overreact with the rape joke. He has more personal issues than this.,gender,en,0.9999978321325856,1,@ vice gandas sickness of being gay has no cure so dont overreact with the rape joke he has more personal issues than this
8804,@Fernandarova feminazi,gender,en,0.999995115383462,1,@ feminazi
8809,"In the past 12h, @spacekatgal is seeing the most targeted abuse, with 194 (36 OC/158 RT) GG hashtaged tweets mentioning her. Congrats!",gender,en,0.7142841769056432,1,in the past 12h @ is seeing the most targeted abuse with 194 36 oc158 rt gg hashtaged tweets mentioning her congrats
8828,@HPluckrose,gender,en,0.9999962978113214,1,@
8915,"After Nancy Binay Skin Colour Puns, Gay Filipino Comedian's Rape Joke Incurs ... http://bit.ly/1533h3w",gender,en,0.9999972873646424,1,after nancy binay skin colour puns gay filipino comedians rape joke incurs  @link@
9094,Miley Cyrus makes date rape joke onstage at GAY http://bit.ly/1iINrDC,gender,en,0.9999981812514256,1,miley cyrus makes date rape joke onstage at gay @link@
9098,#MileyCyrus Miley Cyrus Shocks With Insensitive 'Date Rape Joke' And 'Gay Comments' [WATCH VIDEO] http://ift.tt/1sjxvIT,gender,en,0.99999646043908,1,mileycyrus miley cyrus shocks with insensitive date rape joke and gay comments watch video @link@
9102,"omg, you guys. they are misusing the word gaslighting repeatedly. must not have gotten to that on their SJW word of the day calendar yet.",gender,en,0.9999961075537114,1,omg you guys they are misusing the word gaslighting repeatedly must not have gotten to that on their sjw word of the day calendar yet
9130,#MileyCyrus Miley Cyrus Shocks With Insensitive 'Date Rape Joke' And 'Gay Comments' [WATCH VIDEO] http://ift.tt/1iI5eup,gender,en,0.9999948856548628,1,mileycyrus miley cyrus shocks with insensitive date rape joke and gay comments watch video @link@
9189,#MileyCyrus Miley Cyrus shocks fans with date-rape 'joke' during gig at GAY in London http://ift.tt/1lbAKOD'joke'-during-gig-at-GAY-in-London&amp;c=TT2yUG9XwN5-GQIbSb1mw7HYf12SAWB3aBQl4Wxhnzw&amp;mkt=en-us,gender,en,0.9999977845518933,1,mileycyrus miley cyrus shocks fans with date-rape joke during gig at gay in london @link@joke-during-gig-at-gay-in-londonampctt2yug9xwn5-gqibsb1mw7hyf12sawb3abql4wxhnzwampmkten-us
9208,Miley Cyrus makes date rape joke onstage at GAY - The Guardian http://q.gs/6y1tY,gender,en,0.9999950305901498,1,miley cyrus makes date rape joke onstage at gay - the guardian @link@
9228,@thesledgetobias ?,gender,en,0.999995869140469,1,@ 
9234,#MileyCyrus Miley Cyrus causes controversy with date-rape 'joke' at GAY club gig in London http://ift.tt/1smXpeN,gender,en,0.9999972176678428,1,mileycyrus miley cyrus causes controversy with date-rape joke at gay club gig in london @link@
9269,#MileyCyrus Miley Cyrus makes date rape joke onstage at GAY http://ift.tt/1g1a46Q,gender,en,0.9999976717358984,1,mileycyrus miley cyrus makes date rape joke onstage at gay @link@
9286,"Miley Cyrus Rides Blow-Up Dick, Tells Rape Joke at London Gay Club http://fb.me/39Bf3ZdWc",gender,en,0.9999985930430934,1,miley cyrus rides blow-up dick tells rape joke at london gay club @link@
9292,@ZombieNeith @GRIMACHU,gender,en,0.9999985668558888,1,@ @
9313,@2ANow,gender,en,0.8571386781734139,1,@
9372,#MileyCyrus Miley Cyrus Shocks With Insensitive 'Date Rape Joke' And 'Gay Comments' [WATCH VIDEO] http://ift.tt/1sjqE2e,gender,en,0.9999963163152276,1,mileycyrus miley cyrus shocks with insensitive date rape joke and gay comments watch video @link@
9396,@JamesBolton11 Yup.,gender,en,0.9999976823003908,1,@ yup
9464,"RT @NoToFeminism: I don’t need femisnsn because men carry heavy things that i cannot!!! like shopping, boxes, and a huge sense of superiori…",gender,en,0.9999964759783336,1,rt @ i don’t need femisnsn because men carry heavy things that i cannot like shopping boxes and a huge sense of superiori…
9487,#MileyCyrus Miley Cyrus Shocks With Insensitive 'Date Rape Joke' And 'Gay Comments' [WATCH VIDEO] http://ift.tt/1laJF2Z,gender,en,0.9999955332232816,1,mileycyrus miley cyrus shocks with insensitive date rape joke and gay comments watch video @link@
9501,"After Nancy Binay Skin Colour Puns, Gay Filipino Comedian's Rape Joke Incurs ...: After racist jokes about a d... http://bit.ly/142rXG8",gender,en,0.999996907111618,1,after nancy binay skin colour puns gay filipino comedians rape joke incurs  after racist jokes about a d @link@
9505,"The #Miseducation of the American Boy: Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of #masculinity. https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,en,0.9999973052007792,1,the miseducation of the american boy why boys crack up at rape jokes think having a girlfriend is gay and still can’t cry—and why we need to give them new and better models of masculinity @link@
9594,"#MileyCyrus Miley Cyrus 'date rape' joke goes too far? Twerker exclaims 'everyone's a little gay,' simulates ora... http://ift.tt/1gepLYX",gender,en,0.9999979699197216,1,mileycyrus miley cyrus date rape joke goes too far twerker exclaims everyones a little gay simulates ora @link@
9702,"Simple things please simple minds. @pumpkinking39 I'm not sexist but dammit, the best jokes are.",gender,en,0.9999966534270436,1,simple things please simple minds @ im not sexist but dammit the best jokes are
9743,Miley Cyrus makes date rape joke onstage at GAY http://dlvr.it/5f1H4Y,gender,en,0.9999966820840626,1,miley cyrus makes date rape joke onstage at gay @link@
9865,#MileyCyrus Miley Cyrus Makes Date Rape Joke At London Gay Nightclub: VIDEO http://ift.tt/1jpjHqQ,gender,en,0.9999972274198352,1,mileycyrus miley cyrus makes date rape joke at london gay nightclub video @link@
9882,@g56yu What is that?,gender,en,0.9999975891694082,1,@ what is that
9931,#MileyCyrus Miley Cyrus causes controversy with date-rape 'joke' at GAY club gig in London http://ift.tt/1lnGQhV'joke'-at-GAY-club-gig-in-London&amp;c=2ANoySojn758d6ckAcbPgEIBE3n0xG-Z3i4i-MK56ko&amp;mkt=en-us,gender,en,0.9999964956160378,1,mileycyrus miley cyrus causes controversy with date-rape joke at gay club gig in london @link@joke-at-gay-club-gig-in-londonampc2anoysojn758d6ckacbpgeibe3n0xg-z3i4i-mk56koampmkten-us
