,true,pred
133,ethnicity,ethnicity
134,gender,not_cyberbullying
135,other_cyberbullying,other_cyberbullying
136,age,age
137,not_cyberbullying,not_cyberbullying
138,age,age
139,not_cyberbullying,religion
140,age,age
141,other_cyberbullying,not_cyberbullying
142,age,age
143,religion,religion
144,gender,gender
145,not_cyberbullying,not_cyberbullying
146,ethnicity,ethnicity
147,other_cyberbullying,not_cyberbullying
148,not_cyberbullying,not_cyberbullying
149,age,age
150,not_cyberbullying,not_cyberbullying
151,other_cyberbullying,other_cyberbullying
152,gender,gender
153,religion,religion
154,other_cyberbullying,other_cyberbullying
155,age,age
156,other_cyberbullying,not_cyberbullying
157,other_cyberbullying,gender
158,age,age
159,ethnicity,ethnicity
160,ethnicity,ethnicity
161,other_cyberbullying,other_cyberbullying
162,gender,gender
163,not_cyberbullying,not_cyberbullying
164,not_cyberbullying,age
165,gender,gender
166,religion,religion
167,age,age
168,gender,other_cyberbullying
169,not_cyberbullying,not_cyberbullying
170,not_cyberbullying,not_cyberbullying
171,gender,gender
172,ethnicity,ethnicity
173,age,age
174,ethnicity,ethnicity
175,not_cyberbullying,not_cyberbullying
176,age,age
177,ethnicity,ethnicity
178,religion,religion
179,gender,gender
180,other_cyberbullying,other_cyberbullying
181,not_cyberbullying,not_cyberbullying
182,other_cyberbullying,other_cyberbullying
183,religion,religion
184,gender,gender
185,religion,religion
186,age,age
187,religion,religion
188,gender,gender
189,religion,religion
190,other_cyberbullying,other_cyberbullying
191,age,age
192,age,ethnicity
193,not_cyberbullying,not_cyberbullying
194,religion,religion
195,ethnicity,ethnicity
196,age,age
197,religion,religion
198,gender,gender
199,religion,religion
200,ethnicity,ethnicity
201,gender,gender
202,not_cyberbullying,not_cyberbullying
203,religion,religion
204,age,age
205,gender,gender
206,not_cyberbullying,not_cyberbullying
207,not_cyberbullying,other_cyberbullying
208,ethnicity,ethnicity
209,ethnicity,ethnicity
210,not_cyberbullying,other_cyberbullying
211,ethnicity,ethnicity
212,not_cyberbullying,other_cyberbullying
213,other_cyberbullying,not_cyberbullying
214,not_cyberbullying,other_cyberbullying
215,other_cyberbullying,other_cyberbullying
216,age,age
217,other_cyberbullying,other_cyberbullying
218,religion,religion
219,not_cyberbullying,gender
220,religion,religion
221,ethnicity,ethnicity
222,ethnicity,ethnicity
223,ethnicity,ethnicity
224,not_cyberbullying,other_cyberbullying
225,other_cyberbullying,other_cyberbullying
226,age,age
227,age,age
228,religion,religion
229,other_cyberbullying,not_cyberbullying
230,gender,gender
231,ethnicity,ethnicity
232,not_cyberbullying,not_cyberbullying
233,gender,gender
234,ethnicity,ethnicity
235,age,age
236,age,age
237,ethnicity,ethnicity
238,ethnicity,ethnicity
239,other_cyberbullying,other_cyberbullying
240,religion,religion
241,not_cyberbullying,not_cyberbullying
242,not_cyberbullying,other_cyberbullying
243,age,age
244,ethnicity,ethnicity
245,religion,religion
246,age,age
247,age,age
248,ethnicity,ethnicity
249,gender,gender
250,not_cyberbullying,other_cyberbullying
251,not_cyberbullying,not_cyberbullying
252,other_cyberbullying,not_cyberbullying
253,age,age
254,ethnicity,ethnicity
255,religion,religion
256,age,age
257,not_cyberbullying,not_cyberbullying
258,gender,gender
259,ethnicity,ethnicity
260,not_cyberbullying,not_cyberbullying
261,not_cyberbullying,not_cyberbullying
262,age,age
263,age,age
264,other_cyberbullying,other_cyberbullying
265,not_cyberbullying,not_cyberbullying
266,gender,gender
267,other_cyberbullying,other_cyberbullying
268,ethnicity,ethnicity
269,age,age
270,religion,religion
271,not_cyberbullying,not_cyberbullying
272,age,age
273,religion,religion
274,religion,religion
275,ethnicity,ethnicity
276,not_cyberbullying,other_cyberbullying
277,religion,religion
278,religion,religion
279,ethnicity,ethnicity
280,age,age
281,religion,religion
282,age,age
283,ethnicity,ethnicity
284,gender,gender
285,not_cyberbullying,not_cyberbullying
286,not_cyberbullying,not_cyberbullying
287,religion,religion
288,religion,religion
289,religion,religion
290,age,age
291,ethnicity,ethnicity
292,age,age
293,age,age
294,other_cyberbullying,other_cyberbullying
295,religion,religion
296,other_cyberbullying,other_cyberbullying
297,not_cyberbullying,not_cyberbullying
298,not_cyberbullying,gender
299,gender,gender
300,religion,religion
301,religion,religion
302,gender,gender
303,age,age
304,ethnicity,ethnicity
305,not_cyberbullying,other_cyberbullying
306,ethnicity,ethnicity
307,religion,religion
308,ethnicity,ethnicity
309,not_cyberbullying,other_cyberbullying
310,gender,gender
311,age,age
312,other_cyberbullying,other_cyberbullying
313,other_cyberbullying,other_cyberbullying
314,religion,not_cyberbullying
315,age,age
316,age,age
317,ethnicity,ethnicity
318,age,age
319,age,age
320,ethnicity,ethnicity
321,ethnicity,ethnicity
322,gender,gender
323,ethnicity,ethnicity
324,religion,religion
325,age,age
326,not_cyberbullying,not_cyberbullying
327,age,age
328,gender,gender
329,other_cyberbullying,other_cyberbullying
330,not_cyberbullying,not_cyberbullying
331,gender,gender
332,not_cyberbullying,not_cyberbullying
333,religion,religion
334,other_cyberbullying,other_cyberbullying
335,age,age
336,age,age
337,age,age
338,religion,religion
339,ethnicity,ethnicity
340,not_cyberbullying,other_cyberbullying
341,gender,gender
342,not_cyberbullying,other_cyberbullying
343,other_cyberbullying,not_cyberbullying
344,gender,gender
345,other_cyberbullying,other_cyberbullying
346,other_cyberbullying,other_cyberbullying
347,age,age
348,age,age
349,gender,gender
350,not_cyberbullying,not_cyberbullying
351,religion,religion
352,age,age
353,gender,gender
354,ethnicity,ethnicity
355,religion,religion
356,not_cyberbullying,not_cyberbullying
357,other_cyberbullying,not_cyberbullying
358,gender,gender
359,not_cyberbullying,not_cyberbullying
360,age,age
361,not_cyberbullying,other_cyberbullying
362,religion,religion
363,not_cyberbullying,other_cyberbullying
364,gender,not_cyberbullying
365,not_cyberbullying,not_cyberbullying
366,ethnicity,ethnicity
367,age,age
368,religion,religion
369,ethnicity,ethnicity
370,gender,gender
371,gender,gender
372,other_cyberbullying,not_cyberbullying
373,other_cyberbullying,other_cyberbullying
374,gender,gender
375,not_cyberbullying,not_cyberbullying
376,religion,religion
377,age,age
378,age,age
379,not_cyberbullying,religion
380,ethnicity,ethnicity
381,religion,religion
382,ethnicity,ethnicity
383,other_cyberbullying,other_cyberbullying
384,ethnicity,ethnicity
385,age,age
386,age,age
387,gender,gender
388,age,age
389,other_cyberbullying,other_cyberbullying
390,age,age
391,age,other_cyberbullying
392,other_cyberbullying,other_cyberbullying
393,not_cyberbullying,not_cyberbullying
394,not_cyberbullying,other_cyberbullying
395,not_cyberbullying,other_cyberbullying
396,gender,gender
397,not_cyberbullying,not_cyberbullying
398,gender,gender
399,religion,religion
400,not_cyberbullying,not_cyberbullying
401,ethnicity,ethnicity
402,age,age
403,religion,religion
404,gender,not_cyberbullying
405,not_cyberbullying,gender
406,ethnicity,ethnicity
407,age,age
408,age,age
409,not_cyberbullying,other_cyberbullying
410,age,age
411,religion,religion
412,religion,religion
413,age,age
414,religion,religion
415,not_cyberbullying,not_cyberbullying
416,ethnicity,ethnicity
417,religion,religion
418,ethnicity,ethnicity
419,religion,religion
420,gender,gender
421,other_cyberbullying,other_cyberbullying
422,age,age
423,ethnicity,ethnicity
424,religion,religion
425,gender,gender
426,ethnicity,ethnicity
427,religion,religion
428,ethnicity,ethnicity
429,other_cyberbullying,age
430,not_cyberbullying,other_cyberbullying
431,age,age
432,other_cyberbullying,other_cyberbullying
433,ethnicity,other_cyberbullying
434,religion,religion
435,gender,gender
436,gender,gender
437,gender,gender
438,ethnicity,other_cyberbullying
439,age,age
440,other_cyberbullying,other_cyberbullying
441,religion,religion
442,religion,religion
443,other_cyberbullying,other_cyberbullying
444,religion,religion
445,gender,other_cyberbullying
446,not_cyberbullying,not_cyberbullying
447,religion,religion
448,not_cyberbullying,other_cyberbullying
449,gender,gender
450,ethnicity,ethnicity
451,other_cyberbullying,other_cyberbullying
452,not_cyberbullying,gender
453,not_cyberbullying,not_cyberbullying
454,not_cyberbullying,other_cyberbullying
455,religion,religion
456,gender,other_cyberbullying
457,ethnicity,ethnicity
458,age,age
459,ethnicity,ethnicity
460,ethnicity,ethnicity
461,religion,religion
462,not_cyberbullying,not_cyberbullying
463,ethnicity,ethnicity
464,gender,gender
465,gender,gender
466,ethnicity,ethnicity
467,gender,gender
468,not_cyberbullying,other_cyberbullying
469,ethnicity,ethnicity
470,religion,religion
471,age,age
472,other_cyberbullying,not_cyberbullying
473,other_cyberbullying,not_cyberbullying
474,religion,religion
475,gender,gender
476,age,age
477,not_cyberbullying,other_cyberbullying
478,gender,gender
479,not_cyberbullying,not_cyberbullying
480,other_cyberbullying,other_cyberbullying
481,not_cyberbullying,other_cyberbullying
482,age,age
483,religion,religion
484,ethnicity,ethnicity
485,not_cyberbullying,not_cyberbullying
486,not_cyberbullying,not_cyberbullying
487,age,age
488,other_cyberbullying,not_cyberbullying
489,ethnicity,ethnicity
490,religion,gender
491,ethnicity,ethnicity
492,age,age
493,other_cyberbullying,not_cyberbullying
494,religion,religion
495,gender,gender
496,gender,gender
497,religion,religion
498,gender,gender
499,gender,ethnicity
500,gender,gender
501,age,age
502,age,age
503,gender,gender
504,ethnicity,ethnicity
505,gender,gender
506,not_cyberbullying,other_cyberbullying
507,gender,gender
508,other_cyberbullying,other_cyberbullying
509,age,age
510,religion,religion
511,age,age
512,religion,religion
513,gender,gender
514,age,age
515,other_cyberbullying,gender
516,gender,gender
517,ethnicity,ethnicity
518,not_cyberbullying,not_cyberbullying
519,gender,gender
520,ethnicity,ethnicity
521,age,age
522,other_cyberbullying,not_cyberbullying
523,age,age
524,religion,religion
525,religion,religion
526,ethnicity,ethnicity
527,not_cyberbullying,gender
528,gender,gender
529,ethnicity,ethnicity
530,not_cyberbullying,other_cyberbullying
531,not_cyberbullying,not_cyberbullying
532,not_cyberbullying,not_cyberbullying
533,not_cyberbullying,not_cyberbullying
534,ethnicity,ethnicity
535,not_cyberbullying,not_cyberbullying
536,not_cyberbullying,not_cyberbullying
537,gender,other_cyberbullying
538,gender,other_cyberbullying
539,gender,gender
540,ethnicity,ethnicity
541,not_cyberbullying,other_cyberbullying
542,other_cyberbullying,other_cyberbullying
543,other_cyberbullying,other_cyberbullying
544,age,age
545,gender,gender
546,other_cyberbullying,other_cyberbullying
547,gender,gender
548,ethnicity,ethnicity
549,not_cyberbullying,other_cyberbullying
550,gender,gender
551,other_cyberbullying,other_cyberbullying
552,age,age
553,not_cyberbullying,not_cyberbullying
554,gender,gender
555,age,age
556,not_cyberbullying,gender
557,ethnicity,ethnicity
558,other_cyberbullying,other_cyberbullying
559,religion,religion
560,religion,religion
561,religion,religion
562,age,age
563,age,age
564,gender,gender
565,religion,religion
566,ethnicity,ethnicity
567,not_cyberbullying,other_cyberbullying
568,other_cyberbullying,not_cyberbullying
569,age,age
570,age,age
571,religion,religion
572,not_cyberbullying,not_cyberbullying
573,ethnicity,ethnicity
574,gender,gender
575,gender,gender
576,age,age
577,age,age
578,not_cyberbullying,not_cyberbullying
579,ethnicity,ethnicity
580,gender,gender
581,ethnicity,ethnicity
582,gender,gender
583,gender,other_cyberbullying
584,not_cyberbullying,other_cyberbullying
585,ethnicity,ethnicity
586,gender,gender
587,religion,religion
588,other_cyberbullying,other_cyberbullying
589,other_cyberbullying,ethnicity
590,religion,religion
591,ethnicity,ethnicity
592,gender,gender
593,gender,gender
594,ethnicity,ethnicity
595,not_cyberbullying,not_cyberbullying
596,not_cyberbullying,other_cyberbullying
597,ethnicity,ethnicity
598,ethnicity,ethnicity
599,age,age
600,ethnicity,ethnicity
601,gender,gender
602,not_cyberbullying,not_cyberbullying
603,ethnicity,ethnicity
604,ethnicity,ethnicity
605,other_cyberbullying,gender
606,ethnicity,ethnicity
607,ethnicity,ethnicity
608,ethnicity,ethnicity
609,ethnicity,ethnicity
610,not_cyberbullying,not_cyberbullying
611,ethnicity,ethnicity
612,ethnicity,ethnicity
613,not_cyberbullying,other_cyberbullying
614,religion,religion
615,age,age
616,ethnicity,ethnicity
617,gender,gender
618,age,age
619,age,age
620,ethnicity,ethnicity
621,other_cyberbullying,other_cyberbullying
622,not_cyberbullying,other_cyberbullying
623,age,age
624,religion,religion
625,age,age
626,gender,gender
627,ethnicity,ethnicity
628,other_cyberbullying,gender
629,not_cyberbullying,other_cyberbullying
630,ethnicity,ethnicity
631,age,age
632,age,age
633,not_cyberbullying,not_cyberbullying
634,religion,religion
635,gender,gender
636,religion,religion
637,religion,religion
638,gender,gender
639,gender,gender
640,not_cyberbullying,age
641,ethnicity,ethnicity
642,other_cyberbullying,other_cyberbullying
643,age,age
644,age,age
645,religion,religion
646,other_cyberbullying,other_cyberbullying
647,religion,religion
648,other_cyberbullying,age
649,age,age
650,gender,gender
651,age,age
652,religion,religion
653,religion,religion
654,age,age
655,not_cyberbullying,religion
656,not_cyberbullying,not_cyberbullying
657,religion,religion
658,age,age
659,age,age
660,gender,not_cyberbullying
661,religion,religion
662,gender,gender
663,gender,gender
664,religion,religion
665,age,age
666,religion,religion
667,gender,gender
668,other_cyberbullying,other_cyberbullying
669,ethnicity,ethnicity
670,not_cyberbullying,not_cyberbullying
671,age,other_cyberbullying
672,religion,religion
673,ethnicity,ethnicity
674,age,age
675,gender,gender
676,other_cyberbullying,not_cyberbullying
677,age,age
678,other_cyberbullying,other_cyberbullying
679,other_cyberbullying,not_cyberbullying
680,ethnicity,ethnicity
681,not_cyberbullying,not_cyberbullying
682,religion,religion
683,other_cyberbullying,other_cyberbullying
684,age,age
685,not_cyberbullying,gender
686,age,age
687,age,age
688,not_cyberbullying,other_cyberbullying
689,ethnicity,ethnicity
690,ethnicity,ethnicity
691,ethnicity,ethnicity
692,religion,religion
693,not_cyberbullying,gender
694,religion,religion
695,age,age
696,religion,religion
697,ethnicity,ethnicity
698,gender,gender
699,ethnicity,ethnicity
700,religion,religion
701,gender,gender
702,other_cyberbullying,other_cyberbullying
703,gender,gender
704,not_cyberbullying,other_cyberbullying
705,gender,gender
706,not_cyberbullying,religion
707,ethnicity,ethnicity
708,age,age
709,religion,religion
710,age,age
711,not_cyberbullying,other_cyberbullying
712,ethnicity,ethnicity
713,age,age
714,not_cyberbullying,not_cyberbullying
715,other_cyberbullying,other_cyberbullying
716,religion,religion
717,religion,religion
718,other_cyberbullying,other_cyberbullying
719,religion,religion
720,religion,not_cyberbullying
721,age,age
722,not_cyberbullying,other_cyberbullying
723,gender,gender
724,gender,gender
725,gender,gender
726,age,age
727,religion,religion
728,gender,gender
729,age,age
730,other_cyberbullying,other_cyberbullying
731,gender,gender
732,ethnicity,ethnicity
733,other_cyberbullying,not_cyberbullying
734,other_cyberbullying,other_cyberbullying
735,gender,gender
736,age,age
737,gender,gender
738,religion,religion
739,age,age
740,ethnicity,ethnicity
741,gender,other_cyberbullying
742,ethnicity,ethnicity
743,gender,gender
744,gender,gender
745,religion,religion
746,not_cyberbullying,not_cyberbullying
747,other_cyberbullying,other_cyberbullying
748,ethnicity,ethnicity
749,gender,gender
750,religion,religion
751,age,age
752,religion,religion
753,age,age
754,ethnicity,ethnicity
755,not_cyberbullying,religion
756,not_cyberbullying,other_cyberbullying
757,ethnicity,ethnicity
758,age,age
759,other_cyberbullying,not_cyberbullying
760,not_cyberbullying,not_cyberbullying
761,religion,religion
762,religion,religion
763,not_cyberbullying,not_cyberbullying
764,age,age
765,religion,religion
766,gender,gender
767,religion,religion
768,religion,religion
769,ethnicity,ethnicity
770,ethnicity,ethnicity
771,religion,religion
772,not_cyberbullying,not_cyberbullying
773,other_cyberbullying,other_cyberbullying
774,age,age
775,gender,gender
776,gender,gender
777,other_cyberbullying,other_cyberbullying
778,age,age
779,gender,gender
780,age,age
781,other_cyberbullying,other_cyberbullying
782,age,age
783,age,age
784,gender,other_cyberbullying
785,other_cyberbullying,other_cyberbullying
786,gender,gender
787,religion,religion
788,religion,religion
789,other_cyberbullying,not_cyberbullying
790,religion,religion
791,gender,gender
792,age,age
793,gender,gender
794,gender,gender
795,other_cyberbullying,other_cyberbullying
796,religion,religion
797,other_cyberbullying,not_cyberbullying
798,religion,religion
799,ethnicity,ethnicity
800,age,age
801,gender,gender
802,age,age
803,not_cyberbullying,not_cyberbullying
804,religion,religion
805,ethnicity,ethnicity
806,gender,gender
807,not_cyberbullying,not_cyberbullying
808,gender,gender
809,ethnicity,ethnicity
810,age,age
811,religion,religion
812,age,age
813,other_cyberbullying,other_cyberbullying
814,other_cyberbullying,other_cyberbullying
815,religion,religion
816,religion,religion
817,gender,gender
818,ethnicity,ethnicity
819,other_cyberbullying,other_cyberbullying
820,religion,religion
821,religion,religion
822,gender,not_cyberbullying
823,not_cyberbullying,other_cyberbullying
824,gender,gender
825,ethnicity,ethnicity
826,other_cyberbullying,not_cyberbullying
827,gender,gender
828,gender,gender
829,age,age
830,not_cyberbullying,age
831,gender,gender
832,not_cyberbullying,other_cyberbullying
833,religion,religion
834,ethnicity,ethnicity
835,religion,religion
836,not_cyberbullying,not_cyberbullying
837,gender,gender
838,religion,religion
839,gender,gender
840,not_cyberbullying,other_cyberbullying
841,religion,religion
842,not_cyberbullying,other_cyberbullying
843,religion,religion
844,ethnicity,ethnicity
845,other_cyberbullying,other_cyberbullying
846,not_cyberbullying,not_cyberbullying
847,ethnicity,ethnicity
848,religion,religion
849,gender,gender
850,age,not_cyberbullying
851,age,age
852,age,age
853,gender,gender
854,other_cyberbullying,other_cyberbullying
855,religion,religion
856,not_cyberbullying,not_cyberbullying
857,other_cyberbullying,not_cyberbullying
858,ethnicity,ethnicity
859,not_cyberbullying,other_cyberbullying
860,age,age
861,not_cyberbullying,other_cyberbullying
862,other_cyberbullying,other_cyberbullying
863,gender,gender
864,age,age
865,religion,religion
866,gender,gender
867,religion,religion
868,ethnicity,ethnicity
869,religion,religion
870,not_cyberbullying,not_cyberbullying
871,religion,religion
872,not_cyberbullying,not_cyberbullying
873,religion,religion
874,ethnicity,other_cyberbullying
875,age,age
876,ethnicity,ethnicity
877,ethnicity,ethnicity
878,religion,religion
879,age,age
880,age,age
881,religion,religion
882,religion,religion
883,not_cyberbullying,other_cyberbullying
884,gender,gender
885,gender,gender
886,religion,religion
887,ethnicity,ethnicity
888,not_cyberbullying,other_cyberbullying
889,not_cyberbullying,other_cyberbullying
890,ethnicity,ethnicity
891,not_cyberbullying,not_cyberbullying
892,age,age
893,religion,religion
894,not_cyberbullying,not_cyberbullying
895,age,age
896,age,age
897,gender,gender
898,age,age
899,religion,religion
900,other_cyberbullying,other_cyberbullying
901,ethnicity,ethnicity
902,ethnicity,ethnicity
903,ethnicity,ethnicity
904,gender,gender
905,not_cyberbullying,not_cyberbullying
906,other_cyberbullying,other_cyberbullying
907,ethnicity,ethnicity
908,ethnicity,ethnicity
909,religion,religion
910,religion,religion
911,ethnicity,ethnicity
912,gender,gender
913,not_cyberbullying,not_cyberbullying
914,religion,religion
915,not_cyberbullying,other_cyberbullying
916,religion,religion
917,not_cyberbullying,other_cyberbullying
918,other_cyberbullying,not_cyberbullying
919,ethnicity,ethnicity
920,other_cyberbullying,other_cyberbullying
921,gender,gender
922,gender,gender
923,religion,religion
924,religion,religion
925,ethnicity,ethnicity
926,religion,religion
927,religion,religion
928,not_cyberbullying,not_cyberbullying
929,ethnicity,ethnicity
930,ethnicity,ethnicity
931,not_cyberbullying,other_cyberbullying
932,ethnicity,ethnicity
933,gender,gender
934,religion,religion
935,other_cyberbullying,other_cyberbullying
936,other_cyberbullying,other_cyberbullying
937,other_cyberbullying,other_cyberbullying
938,religion,religion
939,ethnicity,ethnicity
940,not_cyberbullying,other_cyberbullying
941,religion,religion
942,ethnicity,ethnicity
943,other_cyberbullying,other_cyberbullying
944,ethnicity,ethnicity
945,gender,gender
946,ethnicity,ethnicity
947,other_cyberbullying,other_cyberbullying
948,religion,religion
949,other_cyberbullying,not_cyberbullying
950,religion,religion
951,gender,gender
952,gender,gender
953,age,age
954,religion,religion
955,ethnicity,ethnicity
956,other_cyberbullying,other_cyberbullying
957,gender,gender
958,age,age
959,gender,not_cyberbullying
960,ethnicity,ethnicity
961,other_cyberbullying,other_cyberbullying
962,gender,gender
963,age,age
964,ethnicity,ethnicity
965,gender,gender
966,gender,gender
967,other_cyberbullying,other_cyberbullying
968,other_cyberbullying,other_cyberbullying
969,ethnicity,ethnicity
970,religion,religion
971,gender,gender
972,religion,religion
973,religion,religion
974,religion,religion
975,gender,other_cyberbullying
976,gender,ethnicity
977,gender,not_cyberbullying
978,not_cyberbullying,not_cyberbullying
979,age,age
980,gender,gender
981,other_cyberbullying,other_cyberbullying
982,age,not_cyberbullying
983,gender,gender
984,ethnicity,ethnicity
985,not_cyberbullying,other_cyberbullying
986,ethnicity,ethnicity
987,ethnicity,ethnicity
988,religion,religion
989,gender,gender
990,not_cyberbullying,not_cyberbullying
991,not_cyberbullying,other_cyberbullying
992,ethnicity,ethnicity
993,religion,religion
994,religion,religion
995,age,age
996,religion,religion
997,religion,religion
998,not_cyberbullying,religion
999,not_cyberbullying,not_cyberbullying
1000,ethnicity,ethnicity
1001,gender,gender
1002,gender,gender
1003,not_cyberbullying,not_cyberbullying
1004,not_cyberbullying,not_cyberbullying
1005,religion,religion
1006,gender,gender
1007,other_cyberbullying,other_cyberbullying
1008,gender,gender
1009,other_cyberbullying,other_cyberbullying
1010,ethnicity,ethnicity
1011,not_cyberbullying,not_cyberbullying
1012,gender,gender
1013,not_cyberbullying,not_cyberbullying
1014,religion,religion
1015,other_cyberbullying,other_cyberbullying
1016,age,age
1017,age,age
1018,religion,religion
1019,gender,gender
1020,ethnicity,ethnicity
1021,not_cyberbullying,other_cyberbullying
1022,other_cyberbullying,other_cyberbullying
1023,gender,not_cyberbullying
1024,ethnicity,ethnicity
1025,age,age
1026,not_cyberbullying,other_cyberbullying
1027,not_cyberbullying,not_cyberbullying
1028,not_cyberbullying,gender
1029,ethnicity,ethnicity
1030,age,age
1031,age,not_cyberbullying
1032,age,other_cyberbullying
1033,religion,religion
1034,age,age
1035,age,age
1036,other_cyberbullying,not_cyberbullying
1037,religion,religion
1038,not_cyberbullying,not_cyberbullying
1039,not_cyberbullying,not_cyberbullying
1040,age,age
1041,not_cyberbullying,not_cyberbullying
1042,age,age
1043,other_cyberbullying,other_cyberbullying
1044,other_cyberbullying,gender
1045,not_cyberbullying,gender
1046,religion,religion
1047,age,age
1048,ethnicity,ethnicity
1049,age,age
1050,not_cyberbullying,other_cyberbullying
1051,other_cyberbullying,other_cyberbullying
1052,ethnicity,ethnicity
1053,not_cyberbullying,not_cyberbullying
1054,other_cyberbullying,not_cyberbullying
1055,not_cyberbullying,other_cyberbullying
1056,religion,religion
1057,gender,gender
1058,other_cyberbullying,other_cyberbullying
1059,age,age
1060,other_cyberbullying,not_cyberbullying
1061,not_cyberbullying,other_cyberbullying
1062,ethnicity,ethnicity
1063,gender,gender
1064,age,age
1065,ethnicity,ethnicity
1066,not_cyberbullying,not_cyberbullying
1067,ethnicity,ethnicity
1068,not_cyberbullying,religion
1069,religion,religion
1070,ethnicity,ethnicity
1071,ethnicity,ethnicity
1072,ethnicity,ethnicity
1073,gender,gender
1074,ethnicity,ethnicity
1075,gender,gender
1076,age,age
1077,gender,gender
1078,ethnicity,ethnicity
1079,religion,religion
1080,religion,religion
1081,not_cyberbullying,not_cyberbullying
1082,other_cyberbullying,other_cyberbullying
1083,religion,religion
1084,age,age
1085,gender,gender
1086,other_cyberbullying,not_cyberbullying
1087,ethnicity,ethnicity
1088,age,age
1089,other_cyberbullying,other_cyberbullying
1090,ethnicity,ethnicity
1091,religion,religion
1092,gender,gender
1093,religion,religion
1094,gender,gender
1095,other_cyberbullying,other_cyberbullying
1096,gender,gender
1097,religion,religion
1098,not_cyberbullying,not_cyberbullying
1099,other_cyberbullying,other_cyberbullying
1100,other_cyberbullying,other_cyberbullying
1101,age,age
1102,age,age
1103,ethnicity,ethnicity
1104,ethnicity,ethnicity
1105,not_cyberbullying,not_cyberbullying
1106,religion,religion
1107,gender,gender
1108,other_cyberbullying,not_cyberbullying
1109,gender,gender
1110,gender,gender
1111,ethnicity,ethnicity
1112,religion,religion
1113,religion,religion
1114,age,age
1115,not_cyberbullying,not_cyberbullying
1116,ethnicity,ethnicity
1117,ethnicity,ethnicity
1118,gender,gender
1119,age,age
1120,gender,not_cyberbullying
1121,religion,religion
1122,gender,gender
1123,age,age
1124,ethnicity,ethnicity
1125,gender,not_cyberbullying
1126,gender,gender
1127,ethnicity,ethnicity
1128,religion,religion
1129,gender,gender
1130,age,age
1131,not_cyberbullying,not_cyberbullying
1132,religion,religion
1133,religion,religion
1134,other_cyberbullying,not_cyberbullying
1135,gender,gender
1136,gender,gender
1137,ethnicity,ethnicity
1138,ethnicity,ethnicity
1139,gender,gender
