,tweet_text,cyberbullying_type,lang,score,y,tweet_length
7837,Misogyny isn't different between gay men &amp; straight men. The same way how it's not different between white men &amp; black men (unless you do? You'd be entering in very dangerous territory there). All men can be sexist. But at least gay men don't rape or domestically abuse women,gender,en,0.9999971122074032,1,283
7845,How Donkey X Dragon happened in Shrek. True Love or Rape? • • • • • • #savage #cancer #kek #gay #anime #edgymeme #wtf #despacito #haha #f #jokes #shitpost #fortnite #nicememe #cursedimage… https://www.instagram.com/p/BnRuh7-BS4-/?utm_source=ig_twitter_share&amp;igshid=181yary6ug0co,gender,en,0.9999953420780456,1,282
7987,"Every female rapper should be their true self in their music. Don’t force cocky/bad bitch artists to act humble (because they’re too successful) &amp; don’t shove humility down every new girl’s throat. Meg is cocky now, when she’s as successful as Nicki, y’all will call it mean girl!",gender,en,0.9999970230103834,1,284
8031,"Starting with such an interesting & important piece, I urge everyone to go & read it now - @peggyorenstein's 'The Miseducation of the American Boy'. Why boys tell rape jokes, think having a girlfriend is “gay"", and can’t cry, &amp; why we need to give them new models of masculinity..",gender,en,0.9999962989506104,1,284
8070,"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=share",gender,en,0.9999973059740886,1,316
8130,"can y'all also quote this tweet? Yeah thanks https://twitter.com/G0LDENERA/status/1273236179228344320?s=19 Btw the rape joke like teasing 2 someone who is kinda haggard then say You look like you were raped"" and no homophobic jokes coz some of my friends are gay, didn't know the joke was harsh educate me pleaseee",gender,en,0.999994587741937,1,314
8207,Ellen seems to be one of the coolest women in the “bizniz” -i’m not ever going to understand the gay lifestyle (y’all just people like me)however don’t condemn comedians for joking about it bcuz from my “hood” we joke and joke and laugh about everything except rape &amp; murder etc..,gender,en,0.999996291003838,1,284
8266,"cw // racism, rape, homophobia . . . . . . . . i looked up stuff to prove that magical girl site is sexist if anyone tried to argue with me right NOT ONLY IS IT SEXIST, but it uses racist caricatures and homophobic stereotypes in it by making the only black char gay and a rapist. pic.twitter.com/W0lZe8bcyX",gender,en,0.9999981972707552,1,307
8299,That Yahoo Yoho had a bad day at home & afraid if he was to call his dearest &amp; I quote 'fucking bitch' she would knock his block off so decide to hit on the nicest female he could find &amp; insulted AOC. Beeing brainless the idiot did'nt want to appear headless in front of his flock,gender,en,0.999996088452872,1,288
8407,"The Miseducation of the American Boy Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity - The Atlantic https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,en,0.9999978814030898,1,304
8418,"That was where you drew the line? The Mr. Slave & Mr. Garrison jokes, The canabalism jokes, the rape jokes, the murder jokes, the drug jokes, the Mohammed jokes, the Jesus jokes were totally fine, but don’t touch the gay jokes or we are gonna clutch our pearls VERY AGGRESSIVELY! https://twitter.com/larzhillarz/status/1125499667104579584",gender,en,0.9999963933772138,1,338
8422,"The Miseducation of the American Boy: Why boys crack up at #rape jokes, think having a girlfriend is “#gay,” and still can’t cry—and why we need to give them new and better models of #masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,en,0.9999964421384048,1,293
8427,"There's something very disturbing about men who tout the ""jury was majority women"" explanation for rape acquittals being ""just."" Not only is it a variation on ""my wife says it's not sexist"" and ""my gay friend says it's okay."" It's also dead wrong. https://www.irishexaminer.com/ireland/stanford-rape-case-female-dominated-juries-less-likely-to-convict-in-rape-cases-404525.html",gender,en,0.999997366809806,1,377
8438,"Bro the word literally means “Adult female”. Bitch, hoe, even female dog is disrespectful to call a women, but calling her a female? It just shows how problematic &amp; petty certain people can be. He refrains from calling you a bitch &amp; used “Female”, and that’s still a problem? i...",gender,en,0.999996474563196,1,288
8743,">made out with OFW >rape jokes on a murdered female missionary &gt;rape jokes in general &gt;denies hating gays, but also throws it out as an insult &gt;calls leni weak just because she's a woman well tama naman po kayo, matotoo naman siya. totoong gago. :)))) -P.S. not dilawan :)))",gender,en,0.9999954292441872,1,283
8806,"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity Jeff Perera Thank you for sharing. #leadershipdevelopement #leadershipexcellence #better https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/?preview=6iueaQcbGmSVmP5F6DO-ubMaCOQ&amp;utm_campaign=later-linkinbio-theatlantic&amp;utm_content=later-4467028&amp;utm_medium=social&amp;utm_source=instagram&amp;fbclid=IwAR1cg03PzmHqBerwagxqctorPCsVSItIAmZehR5sHOrYsq51PiR92ljCezU",gender,en,0.9999951619742552,1,572
8949,"i find it so odd that people r defending #jamesgunn cuz of his past tweets. granted it was in the past but he still said it. rape, gay &amp; pedophile jokes arent cool and no sane person says that. his fans r like, well disney used to be racist back in the day. no excuse, disney was",gender,en,0.9999975540638152,1,283
8974,"Gay Rapist Reynhard Sinaga, Gets Life Sentence For 159 Offences Against 48 Men; Yet Sexist Organisation “Rape Crisis” Fail To Acknowledge Men’s Difficulties In Reporting Being Raped @GotPickup @RapeCrisisEandW @CHSommers @LionelMedia @RichardGambler @noamchomskyT @terrycrews pic.twitter.com/YCnwlCabZ4",gender,en,0.9999955776190436,1,302
8982,"What a bunch of sexist, homophobic shills the MSM has become. Everything from Weinstein’s rapes, Lauer’s rape button &amp; now they alienate the homosexual community by not interviewing #Obama’s gay male lover Larry Sinclair @CBSNews @60Minutes @NBCNews @ABCPolitics @TheView @MSNBC",gender,en,0.99999561010686,1,282
8984,"The Miseducation of the American Boy. Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=share",gender,en,0.9999946670919868,1,354
9043,"WATCH: Audience Revolts After Margaret Cho Jokes About Rape, Whites, Gay People - Breitbart http://www.breitbart.com/big-hollywood/2016/03/28/margaret-cho-angers-audience-with-jokes-about-rape-white-people-garry-shandling/?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29",gender,en,0.9999956592109928,1,320
9070,"Ok, well the next time a man calls U or a female friend/family member a fucking bitch, please don’t post about it. I don’t agree w/ some of AOC’s politics, but, in that speech she spoke for millions of women dead &amp; alive. Sad for U that her liberalism prevents U from seeing that.",gender,en,0.9999967290291278,1,284
9108,She feels it’s ok to make lame jokes about how jailed prisoners ‘are gay?’ This from someone who’s herself gay &amp; knows that making light of anal sex in jail is staple fodder for anti-gay zealots everywhere?! Outrageous. This is like a sexual assault survivor making rape jokes.,gender,en,0.999996667090898,1,281
9249,"NO. It is not ok to wash over the fact that he DID use gay slurs he DID make rape jokes he WAS problematic and he should be called out for it, just like anyone else would be. Stop teaching others that it's ok to do those things. https://twitter.com/losersclubdan/status/937272717786656771",gender,en,0.9999964829972462,1,288
9264,"I’m sorry, Insatiable (bad jokes about rape &amp; pedophilia, offensive to the gay, African-American, and many other populations) was renewed for s2 but One Day at a Time (a show with HILARIOUS actors, relevant and important topics, GOOD REPRESENTATION) can’t be renewed. #SaveODAAT",gender,en,0.9999968023456924,1,282
9354,Boys think that joking about gay &amp; trans ppl is funny. Boys laugh about rape. Adult men think complaining abt their partners all the time is hilarious But males totally lose it when anyone jokes abt them but sure they're the funnier gender. Hope that unfunny clown texted u back,gender,en,0.9999971354359248,1,282
9392,"Right!? Policing mtg, I called em out cuz I used 2 work @cop trainings, all trainers r WHITE. They made rape jokes, racist remarks, etc. During break, a cop came 2 me, thanked me 4 speaking up. He experienced same thing @his training. He stayed silent cuz he’s gay &amp; hugged me.",gender,en,0.999995539660461,1,281
9402,"“I’m not gonna apologize for my rape jokes, I’m not gonna apologize for my gay jokes or Mexican jokes or white jokes or… — I...Don't think he said that. If he did I missed it and I apologize. If ya wanna send me ss of him saying so, feel free https://curiouscat.me/springtae154/post/691124133?1540783104",gender,en,0.9999965466099118,1,303
9440,"And I know I’ve amassed essentially a small mob of baby gays but after I told a kid to stop making homophobic jokes &amp; rape jokes, not only does he no longer say that shit (around me) he’s changed how he treats one of the out kids who hangs out with me. He STILL sits with me too??",gender,en,0.8571408734671524,1,284
9505,"The #Miseducation of the American Boy: Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of #masculinity. https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,en,0.9999973052007792,1,293
9554,"don't make rape jokes!!! don't make gay jokes!!! oh but fat jokes are okay they don't cause depression and possible suicide or anything
@RepTedYoho Did you call female member of government, AOC, “fucking bitch”? @HouseAgGOP @HouseForeignGOP @HouseAdmnGOP @HouseForeign @HouseGOP @SpeakerPelosi @AOC
@YourAnonCentral Why is rape always the example used ? Why not say lynching jokes, or drag a gay man behind a truck joke ? Think a little.
Who is worse for FL? @marcorubio who can’t tell the difference between 2 black leaders, @RepTedYoho who calls a female a fucking bitch for no reason, or @GovRonDeSantis for letting Floridians suffer and die because he is too incompetent to lead?
The Miseducation of the American Boy: Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://bit.ly/2RhOXD7 via @TheAtlantic @peggyorenstein #boyhoodstudies
I pull gay niccas, straight females and mommas , a bitch who call me ugly a hatin A$$HOE !
@pewdiepie you got kicked out of the partnership? We all tried to tell you nobody likes rape or gay jokes. #Swerve
RT @AxAs23: @BBCSport Not sexist but even women prefer to watch Men's sports over women playing because it's played at a higher level.
And we should be able to tell others not to rape or be sexist without that feeling that you're being judged for being a feminist/gay""",gender,en,0.9999950171149616,1,1431
9557,"1. If the joke is murdered women, it’s offensive for the same reason rape jokes are offensive. 2. If the joke is “dating men is dangerous,” then it’s not about heterosexuality (gay &amp; bi people date men too); it’s about misogyny. 3. It’s been 24 hrs and you haven’t deleted this.",gender,en,0.9999980459726768,1,282
9716,".@MileyCyrus date rape joke goes too far? Exclaims 'everyone's a little gay,' simulates oral sex with blowup penis http://www.mstarz.com/articles/30433/20140512/miley-cyrus-date-rape-joke-goes-too-far-twerker-exclaims-everyone-little-gay-simulates-oral-sex-blowup-penis-london-watch.htm",gender,en,0.9999975619066775,1,286
9878,Miley Cyrus makes date rape joke onstage at GAY #MileyCyrus #Popandrock #Music #Culture #Rape http://hereisthecity.com/en-gb/2014/05/12/miley-cyrus-makes-date-rape-joke-onstage-at-gay/?utm_medium=share%20service&amp;utm_campaign=social%20media&amp;utm_source=twitter&amp;utm_content=hereisthecity,gender,en,0.9999969904766244,1,296
9987,"Hey @billmaher, as a rape survivor &amp; a gay guy I don’t find this funny in the least. Rape jokes aren’t yours to make. And gay sex isn’t punishment. But just to keep it fair, please let me know which women you’re willing to make a rape joke about. I’m sure it will be well received",gender,en,0.999998040430456,1,284
10060,"I hope you wind up with an abusive husband who beats... http://t.co/Uy7fnllWjq
@cazzapuppy Great.  So, you support men's right to financial abortion, cool.
I just want to knock Kat's cocky face out #mkr
misogynist, uses the word gay"" as derogatory, says rape jokes, curses the pope, has a logic of criminals = instant kill",gender,en,0.99999789810559,1,325
10195,"Misogyny is an interesting she's always punished for being outspoken. A congressman call her ""disgusting"" &amp; a ""fucking bitch"" on the steps of the Hill. Said asshole apologizes evoking his daughters &amp; god and then later rescinds his apology. Yeah, her support will be female.",gender,en,0.99999592716234,1,282
10335,Frankie Boyle talks people put money in. Gave him a couple of gags. A rape joke.&amp; one about gay men having sex with their mum. Blimey ! Danny DeVito likes plenty of butter on his crumpet. Joan Rivers escaped getting in the cross-hairs? Good girls go to hell Stuck a fork in you,gender,en,0.9999984038785048,1,281
10375,"Somehow (straight) men were oppressed, bc they couldn’t harass women any more? Even by accident, they’d be horribly punished (as if!) Affirmative action meant more women got hired (not true) women could just ‘cry rape’ &amp; ruin a man’s life, can’t make ‘harmless’ gay jokes now...",gender,en,0.9999966123506728,1,282
10595,"The World is too sensitive these days, simple joke and people get angry. No more space for humour/sarcasm on racist, rape, gay, men/women, politics. The fact that people had to be careful with subject they chose &amp; mindful on how it's affects others makes the world a hurtful place",gender,en,0.9999970571975714,1,284
10629,Here's my issue with people like the gay TV producer-- he wouldn't be saying relax if a Scott Baio had made the same stupid joke. #Kimmel shouldn't be given a pass because he is a liberal. That's why @TheDemocrats ignored Clinton's RAPE of #JuanitaBroaddrick &amp; it's unacceptable.,gender,en,0.9999985138173156,1,283
10739,"The Miseducation of the American Boy by ⁦@peggyorenstein⁩ “Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity. “ cc ⁦@GoodMenProject⁩ https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,en,0.9999959457501232,1,335
10788,"The Miseducation of the American Boy Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity @peggyorenstein https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=share",gender,en,0.999997322514174,1,369
10852,"You write, ""There is no causal link between men refusing to “call out” a sexist joke and the rape and murder of a stranger."" Wrong. One established risk factor for men's perpetration of rape is male peer support, the belief that peers agree with their behaviour. Speaking up helps pic.twitter.com/ywtfBSMTrr",gender,en,0.9999971891835492,1,307
10927,"Am I wrong to not be offended by a comedian telling a taboo jokes? Its like God, its not real, its a comedian doing stand-up. Pedophile jokes are funny. Is that only because I wasn't molested? Abortion, gay, and rape jokes can be funny &amp; I'm a very liberal progressive. Its a joke",gender,en,0.9999955888738682,1,284
10968,"As a woman who supports a pussy-grabber* for a President, it's NOT surprising that you also THANK a man who calls his female Congressional colleague ""disgusting"" &amp; a ""fucking bitch"" at work. I wonder how you feel when you, your daughters or mom are called ""fucking bitches"" by men",gender,en,0.999996523770198,1,284
10980,"it’s shock humor that he DOESNT use anymore. the clips circulating on twitter aren’t even the full clips. he continues to go on and talk about how he’s joking. no one cared about these jokes until he got popular this past year. people make gay, rape, etc. jokes &amp; ppl don’t care?",gender,en,0.9999968804220754,1,283
11028,"the scale of what is worse: [the greater the value, the worse it] pedo ‘jokes’ &lt; ‘racist’ jokes ice &gt; isis gangs &lt; local pd kill baby &lt; gay or black conservatism rape reporting &gt; antifa $1 salary &gt; $1.7 bil cash **according to MSM, ‘liberals,’ communists, &amp; rest of left**",gender,en,0.9999943137987518,1,294
11405,"• The USA still have the death penalty • are executing a man for being gay • because of the omnipresent “prison=anal rape” joke • which is only considered bad, and a desirable punishment even, when it happens to straight men https://mobile.nytimes.com/2018/06/19/opinion/charles-rhines-gay-jury-death-row.html",gender,en,0.999994519801156,1,309
11427,"Did you see the horrendously sexist animated version of the Killing Joke and how bad they did Batgirl in that? I'm generally ok w/@brianazzarello's work, but this was str8p rape fantasy that ruined both the movie &amp; a book that was a fantastic contribution to the #Batman universe.",gender,en,0.9999966499347012,1,284
11472,"Sometimes we are raised in ways that make us immune to jokes that are insensitive. Black jokes, gay jokes, rape jokes have been normalized over years of consistent supremacy, inequality &amp; patriarchy. It is time we ponder on it &amp; make this come to an end. Speak up when necessary.",gender,en,0.9999955539119496,1,287
11478,"About 30 men (several working for left-wing pubs) are accused of running online harassment campaigns against feminists, female journalists, writers of color & gay people – often using false accounts to spread racist/sexist abuse, and rape-threats. #MeToo https://www.theguardian.com/world/2019/feb/15/french-media-crisis-faces-own-metoo-moment-ligue-du-lol?",gender,en,0.9999969912751568,1,357
11688,"Let's see-he's anti abortion and gay rights,a racist,homophobic,misogygnist,rape-apologist,sexist,racist birther bullying bigot hate-spewer that is to Trump as Goebbels was to Hitler. https://www.vox.com/2020/2/5/21123597/rush-limbaugh-medal-of-freedom-trump-racist-sexist?utm_campaign=vox&amp;utm_content=entry&amp;utm_medium=social&amp;utm_source=twitter via @voxdotcom",gender,en,0.9999981677147644,1,371
11767,"WORTH THE WATCH. it’s not even about politics anymore. It’s the bigger picture. how females are treated everyday. Especially when we’re powerful &amp; woke. just as she said, men who call us bitches are displaying that it’s OK for their daughters &amp; wives to receive the same treatment",gender,en,0.9999968004733476,1,288
11900,"Every politician is an opportunist & come on, in no other professional environment could you call a female a “bitch” &amp; have it be ok. We should demand better discord. Besides, seems Yaho was the one being a little bitch. I don’t agree w/ AOC on many things; but Im glad shes there",gender,en,0.9999963114568982,1,284
11958,"The Miseducation of the American Boy Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/ ICYMI @RemakingManhood #masculinity #boys",gender,en,0.9999954462706652,1,331
11962,"2019 & the Rape culture persists. The safety &amp; welfare of women is a long way from being the norm sadly. Harmless fun, I get it... we don’t REALLY see you as the objects of our entertainment, here hold this and while you’re at it... NOT A JOKE, IT’S ABUSE PLAIN AND SIMPLE! FU NYT",gender,en,0.9999965577298368,1,284
12124,"All G: It's b/c I is black isn't it? Borat: my wife (who's also my sister; us middle easterners amirite?) Bruno: *sexually coming onto every man b/c all gay men have no indiscretion when it comes to sex* Also the habitual sexism, rape jokes &amp; all that is always good for a larf",gender,en,0.9999968129882756,1,281
12133,"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity. Thank you so much for writing this @peggyorenstein. Infinite gratitude. #masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,en,0.9999962801404976,1,338
12264,#ResignAlFranken 3 woman now. Making rape jokes &amp; joking about being glad when a gay is killed. In a few days Hans Brinker won't even be able to save Franken-stein. Here comes the flood....Of course he's a D so its a get out of jail free card..... https://twitter.com/MelMorgan1350/status/931322577179459584,gender,en,0.9999939036169918,1,311
12304,I reported an incredibly sexist/homophobic account &amp; reported multiple tweets &amp; Twitter told me they weren't in violation even tho they literally said women need to rape more so there would be less gays. But yeah. What you said was just...wow...def see how that got you banned.,gender,en,0.9999962180896382,1,285
12361,"Sooooo…..Lemon face, if we make a gay joke or black joke that we find funny, by your standard and apology, its ok? Not laughing at a group of people, just the joke? CNN host apologizes for rape question https://www.msnbc.com/msnbc/watch/cnn-host-apologizes-for-rape-remark-361467971815 via @msnbc",gender,en,0.8571379600311428,1,296
12389,"He regularly used homophobic, racist and sexist using language such as: rape is funny"", ""gay marriage should be illegal"", and ""blacks are useless tree ornaments""."" Now fired (via @RA_Sikdar) https://thetab.com/uk/exeter/2018/03/20/exeter-law-student-fired-from-his-graduate-job-for-racist-group-chat-messages-38469",gender,en,0.9999956201913476,1,314
12425,conservatives: lmao gays should fucking die conservatives: haha rape joke funnie conservatives: im going to light that muslim woman on fire conservatives: stop crying libtards its a joke this guy: im gonna stop old ppl from voting hahah- conservatives in the replies: https://twitter.com/TonyBeast1957/status/1234888411024121877,gender,en,0.9999960808109052,1,328
12429,"Some tweets were just 5 years ago, when he was 46. The ""young man who didn't know better"" defense won't work. This was AFTER he apologized in 2012 for comments the Gay &amp; Lesbian Alliance Against Defamation found offensive. That many tweets about pedophilia/rape isn't just ""jokes""",gender,en,0.9999967762829812,1,284
12437,"He made jokes about pedophilia, anti-gay bigotry &amp; rape. Now people believe he's a pedophile, hates gay people and he's a rapist. With them already believing he's an already a terrible person, it makes sense why they'd hate him. Same reason people hate Zack for false accusations.",gender,en,0.999996616576942,1,284
12544,"No, one mistake should not bring down a politician who clearly is not serial sexist Don't hear women call for resignations when GOP calls for death to gay men RT Perspective | I'm a feminist. I study rape culture. And I don't want Al Franken to resign. http://wapo.st/2hyL9Mo?tid=ss_tw&amp;utm_term=.2e673d605a9b",gender,en,0.9999968904419536,1,312
